2020-10-29 00:00:00,033 INFO [xxl-rpc, EmbedServer bizThreadPool-77408443] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@76b8c7a7
2020-10-29 00:00:00,060 INFO [xxl-rpc, EmbedServer bizThreadPool-77408443] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@787f2700
2020-10-29 00:01:33,045 INFO [Thread-527] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-527,10,main]
2020-10-29 00:01:35,795 INFO [Thread-530] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-530,10,main]
2020-10-29 00:05:00,030 INFO [xxl-rpc, EmbedServer bizThreadPool-961240838] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@8200a0d
2020-10-29 00:05:00,055 INFO [xxl-rpc, EmbedServer bizThreadPool-961240838] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@6e7f579
2020-10-29 00:06:33,064 INFO [Thread-536] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-536,10,main]
2020-10-29 00:06:35,563 INFO [Thread-533] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-533,10,main]
2020-10-29 00:10:00,033 INFO [xxl-rpc, EmbedServer bizThreadPool-1831575162] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@7580f2b1
2020-10-29 00:10:00,049 INFO [xxl-rpc, EmbedServer bizThreadPool-1831575162] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@7b471271
2020-10-29 00:11:33,058 INFO [Thread-542] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-542,10,main]
2020-10-29 00:11:35,795 INFO [Thread-539] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-539,10,main]
2020-10-29 00:15:00,041 INFO [xxl-rpc, EmbedServer bizThreadPool-1728964642] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@25b241d6
2020-10-29 00:15:00,066 INFO [xxl-rpc, EmbedServer bizThreadPool-1728964642] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@2b75ab10
2020-10-29 00:16:33,074 INFO [Thread-548] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-548,10,main]
2020-10-29 00:16:35,565 INFO [Thread-545] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-545,10,main]
2020-10-29 00:20:00,114 INFO [xxl-rpc, EmbedServer bizThreadPool-186224112] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@343b835b
2020-10-29 00:20:00,139 INFO [xxl-rpc, EmbedServer bizThreadPool-186224112] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@3afc6bac
2020-10-29 00:21:33,147 INFO [Thread-554] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-554,10,main]
2020-10-29 00:21:35,337 INFO [Thread-551] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-551,10,main]
2020-10-29 00:25:00,050 INFO [xxl-rpc, EmbedServer bizThreadPool-1494467180] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@3d0eadc5
2020-10-29 00:25:00,075 INFO [xxl-rpc, EmbedServer bizThreadPool-1494467180] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@33c94414
2020-10-29 00:26:33,085 INFO [Thread-560] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-560,10,main]
2020-10-29 00:26:35,565 INFO [Thread-557] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-557,10,main]
2020-10-29 00:30:00,021 INFO [xxl-rpc, EmbedServer bizThreadPool-1911101771] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@4892c7e7
2020-10-29 00:30:00,039 INFO [xxl-rpc, EmbedServer bizThreadPool-1911101771] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@46553085
2020-10-29 00:31:33,030 INFO [Thread-563] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-563,10,main]
2020-10-29 00:31:35,532 INFO [Thread-566] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-566,10,main]
2020-10-29 00:35:01,157 INFO [xxl-rpc, EmbedServer bizThreadPool-2129401110] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@6c1d9894
2020-10-29 00:35:01,206 INFO [xxl-rpc, EmbedServer bizThreadPool-2129401110] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@62da6b67
2020-10-29 00:36:34,216 INFO [Thread-572] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-572,10,main]
2020-10-29 00:36:36,709 INFO [Thread-569] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-569,10,main]
2020-10-29 00:40:00,029 INFO [xxl-rpc, EmbedServer bizThreadPool-1881454702] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@59f94561
2020-10-29 00:40:00,054 INFO [xxl-rpc, EmbedServer bizThreadPool-1881454702] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@573ea02e
2020-10-29 00:41:33,063 INFO [Thread-578] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-578,10,main]
2020-10-29 00:41:35,520 INFO [Thread-575] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-575,10,main]
2020-10-29 00:45:00,057 INFO [xxl-rpc, EmbedServer bizThreadPool-1288175027] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@588a0208
2020-10-29 00:45:00,082 INFO [xxl-rpc, EmbedServer bizThreadPool-1288175027] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@564df769
2020-10-29 00:46:33,066 INFO [Thread-581] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-581,10,main]
